Word,Difficulty
manly,4.383838383838384
molar,4.181818181818182
havoc,4.3999999999999995
impel,4.191919191919192
condo,4.45
judge,5.232323232323232
extra,4.18
poise,3.6831683168316833
aorta,4.089108910891089
excel,4.555555555555555
lunar,3.826530612244898
third,3.4356435643564356
slate,3.4646464646464645
taper,4.07
chord,3.66
rprobe  4.19
rival,4.0
usual,4.24
spoke,3.8585858585858586
apply,4.00990099009901
na?ve,4.08
knock,4.220000000000001
braid,3.63265306122449
infer,4.387755102040816
joust,4.0200000000000005
amber,4.2299999999999995
woken,4.8
adore,3.5643564356435644
torso,3.888888888888889
chafe,4.0101010101010095
eject,4.55
study,4.03
undue,4.356435643564357
tepid,3.606060606060606
happy,3.9393939393939394
clen, 3.45
itchy,3.8699999999999997
feast,3.7920792079207923
drive,3.7399999999999998
prime,3.93
axiom,4.33
brave,4.455445544554456
avert,4.03
glyph,4.06
there,3.5900000000000007
baker,4.720000000000001
snarl,4.3500000000000005
maple,3.9898989898989896
inane,4.15
valet,4.161616161616162
medal,4.07
unite,3.75
rainy,3.4752475247524752
spell,4.1313131313131315
begin,4.02020202020202
stale,3.594059405940594
dream,3.515151515151515
photo,3.77
aloud,3.56
inept,3.931372549019608
piney,4.5049504950495045
aptly,4.07920792079208
waltz,4.6767676767676765
libel,4.489999999999999
sneak,3.9599999999999995
carry,4.27
flout,3.98
foggy,4.54
fault,4.0
mummy,5.475247524752476
spiel,3.881188118811881
grove,4.45
denim,3.9090909090909096
quirk,4.1899999999999995
exist,4.080808080808081
stein,3.6831683168316833
spade,3.8599999999999994
catch,4.848484848484849
floor,4.07
equal,4.198019801980198
ionic,4.859999999999999
valid,4.04
enjoy,4.64
howdy,4.61
vigor,4.4646464646464645
dandy,4.949999999999999
sloth,3.5757575757575757
marxh,3.8599999999999994
bough,4.404040404040404
sting,3.872549019607843
twine,3.9299999999999997
leave,4.346938775510204
scorn,3.881188118811881
scald,4.21
usurp,4.204081632653061
soggy,4.343434343434343
brisk,4.081632653061225
admit,3.96
grate,3.8080808080808075
glory,3.868686868686869
saint,3.6199999999999997
recap,4.0
alike,4.25
trice,4.51
stick,3.646464646464647
chute,3.5858585858585856
parer,5.99
doubt,3.646464646464646
thyme,3.95959595959596
alpha,4.24
booze,4.87
tibia,4.444444444444444
lofty,4.35
theme,3.808080808080808
class,4.404040404040404
leery,4.353535353535354
taunt,4.65
whoop,4.2772277227722775
inter,4.05050505050505
gully,4.91
charm,3.702970297029703
fungi,4.272727272727273
prize,4.77
onset,3.99009900990099
chief,3.8099999999999996
gauze,4.891089108910892
ruder,4.53
irony,3.9898989898989896
clown,3.871287128712871
needy,4.220000000000001
woven,4.585858585858586
merit,3.7979797979797985
waste,4.369999999999999
treat,3.485148514851485
shrug,4.18
twang,4.138613861386139
twice,3.9306930693069306
gruel,4.25
poker,4.51
khaki,4.510000000000001
hunky,4.777777777777778
label,4.39
glean,4.080808080808081
cling,4.31
patty,4.363636363636364
unfit,4.16
smear,4.39
alien,3.4848484848484844
buggy,4.819999999999999
rhyme,4.141414141414142
youth,4.376237623762377
coyly,5.404040404040404
quart,4.29
cramp,4.0
bluff,4.359999999999999
upset,3.9499999999999997
stomp,4.090909090909091
motto,4.545454545454546
cinch,4.910891089108911
elope,4.282828282828283
power,4.292929292929293
midge,4.3232323232323235
tryst,4.06
aphid,4.109999999999999
trite,4.91
angry,4.01010101010101
flock,4.18
wacky,4.292929292929292
roomy,4.329999999999999
wedge,4.613861386138614
liver,4.656565656565657
bland,3.8061224489795915
night,4.180000000000001
madam,4.485148514851485
berth,4.07
stead,4.336633663366337
voice,4.09
agape,4.435643564356436
fluff,4.98
field,4.039603960396039
sever,4.757575757575757
lilac,4.353535353535354
egret,4.49
pinto,4.02
hutch,4.838383838383838
gawky,5.1313131313131315
droll,4.54
retro,4.090909090909092
rusty,3.7070707070707067
beady,4.267326732673268
smite,4.1683168316831685
brink,4.111111111111111
awful,4.26
gloat,4.1899999999999995
input,3.9603960396039604
loser,3.9000000000000004
cacao,4.83
blown,4.138613861386139
apron,3.8799999999999994
primo,4.2299999999999995
atone,3.53
donor,4.070707070707071
float,3.7599999999999993
goose,4.7299999999999995
piety,4.06
girth,4.21
trait,4.18
flood,4.21
gloom,4.46
depth,3.9499999999999997
froth,4.181818181818182
peach,3.52
showy,4.42
creak,4.31
manor,4.08
atoll,4.0
bayou,4.32
crept,4.040404040404041
tiara,3.801980198019802
asset,3.9797979797979797
vouch,4.8686868686868685
album,4.09
hinge,4.11
money,3.9699999999999998
scrap,3.9009900990099013
gamer,4.5200000000000005
glass,4.37
scour,3.8
being,4.1899999999999995
delve,4.5353535353535355
yield,4.53
metal,3.8137254901960786
tipsy,3.8499999999999996
slung,4.425742574257426
farce,3.9795918367346936
gecko,4.393939393939394
shine,3.693069306930693
canny,4.720000000000001
midst,4.13861386138614
badge,4.282828282828283
homer,4.76
train,3.1313131313131315
hairy,4.03
story,4.06
forgo,4.8181818181818175
larva,4.7979797979797985
tash, 3.4599999999999995
zesty,4.79
shown,4.03030303030303
heist,3.6999999999999993
askew,4.63
inert,4.0200000000000005
olive,4.0600000000000005
plant,3.336633663366337
oxide,4.7128712871287135
cargo,4.27
foyer,5.303030303030304
flair,3.8399999999999994
ample,4.2727272727272725
cheek,4.24
shame,4.19
mince,4.109999999999999
chunk,3.9099999999999993
royal,4.070707070707071
squad,4.353535353535353
black,3.7920792079207923
stair,3.3861386138613865
scare,4.090000000000001
foray,4.623762376237624
comma,4.584158415841585
natal,4.569999999999999
shawl,4.494949494949495
fewer,4.88
trope,3.62
snout,4.47
lowly,4.900990099009901
stove,4.616161616161616
shall,4.515151515151515
found,4.712871287128713
nymph,4.634920634920635
epoxy,4.61
depot,3.979591836734694
chest,3.613861386138614
purge,4.207920792079208
slosh,4.363636363636363
their,3.505050505050505
renew,4.313131313131312
allow,4.316831683168317
saute,3.84
movie,4.363636363636363
cater,4.633663366336634
tease,3.647058823529412
smelt,4.31
focus,4.131313131313132
today,3.9099999999999997
watch,4.96
lapse,3.89
month,4.0200000000000005
sweet,4.33
hoard,3.851485148514852
cloth,3.8217821782178216
brine,4.089108910891089
ahead,4.227722772277228
mourn,3.9000000000000004
nasty,4.0606060606060606
rupee,4.38
choke,3.8399999999999994
chant,3.7899999999999996
spill,4.09
vivid,4.7
bloke,4.191919191919191
trove,4.633663366336634
thorn,3.505050505050505
other,4.0
tacit,4.306930693069307
swill,5.08
dodge,4.613861386138614
shake,4.62
caulk,4.34
aroma,4.1000000000000005
cynic,4.1000000000000005
robin,3.96
ultra,4.07
ulcer,4.3999999999999995
pause,4.0200000000000005
humor,4.18
frame,4.242424242424242
elder,4.709999999999999
skill,4.42
aloft,4.198019801980198
pleat,3.9200000000000004
shard,4.257425742574258
moist,3.6633663366336635
those,3.67
light,4.101010101010101
wrung,4.35
could,3.9306930693069306
perky,4.45
mount,3.858585858585858
whack,4.169999999999999
sugar,4.04040404040404
knoll,4.71
crimp,3.9599999999999995
wince,4.415841584158416
prick,3.8686868686868685
robot,3.9108910891089113
point,3.5050505050505047
proxy,4.821782178217822
shire,3.891089108910891
solar,3.8199999999999994
panic,3.732673267326733
tangy,4.37
abbey,4.6060606060606055
favor,4.57
drink,3.732673267326733
query,4.43
gorge,4.640000000000001
crank,4.22
slump,4.13